business_effective_date,card_id,customer_id,account_id,card_type,issued_date,status
2024-01-01,39000,1000,30000,credit,2023-04-15,active
2024-01-01,39001,1000,30001,credit,2023-03-16,active
2024-01-01,39002,1000,30002,debit,2023-03-06,blocked
2024-01-01,39011,1001,30011,debit,2023-08-22,active
2024-01-01,39012,1001,30012,debit,2023-08-29,active
2024-01-01,39020,1002,30020,debit,2023-04-22,active
2024-01-01,39022,1002,30022,credit,2023-04-30,active
2024-01-01,39030,1003,30030,debit,2023-07-06,active
2024-01-01,39040,1004,30040,debit,2023-05-10,active
2024-01-01,39041,1004,30041,credit,2023-05-27,blocked
2024-01-01,39050,1005,30050,debit,2023-09-15,active
2024-01-01,39060,1006,30060,debit,2023-04-23,blocked
2024-01-01,39061,1006,30061,credit,2023-03-24,active
2024-01-01,39070,1007,30070,debit,2023-06-25,active
2024-01-01,39071,1007,30071,debit,2023-06-15,blocked
2024-01-01,39072,1007,30072,debit,2023-06-07,active
2024-01-01,39080,1008,30080,credit,2023-11-11,active
2024-01-01,39081,1008,30081,debit,2023-11-21,active
2024-01-01,39082,1008,30082,debit,2023-11-30,blocked
2024-01-01,39090,1009,30090,debit,2023-06-07,active
2024-01-01,39091,1009,30091,debit,2023-06-07,active
2024-01-01,39092,1009,30092,debit,2023-06-04,active
2024-01-01,39100,1010,30100,debit,2023-03-31,active
2024-01-01,39110,1011,30110,debit,2023-12-06,active
2024-01-01,39120,1012,30120,debit,2023-06-21,active
2024-01-01,39121,1012,30121,credit,2023-06-18,active
2024-01-01,39130,1013,30130,debit,2023-04-09,active
2024-01-01,39131,1013,30131,debit,2023-03-18,blocked
2024-01-01,39140,1014,30140,debit,2023-03-16,active
2024-01-01,39151,1015,30151,debit,2023-02-22,active
2024-01-01,39161,1016,30161,debit,2023-08-19,active
2024-01-01,39170,1017,30170,credit,2023-03-08,active
2024-01-01,39181,1018,30181,debit,2023-02-06,active
2024-01-01,39190,1019,30190,debit,2023-11-14,active
2024-01-01,39191,1019,30191,credit,2023-12-06,active
2024-01-02,39200,1020,30200,debit,2023-12-18,blocked
2024-01-02,39201,1020,30201,debit,2023-12-08,blocked
2024-01-02,39210,1021,30210,debit,2024-01-14,blocked
2024-01-02,39211,1021,30211,credit,2024-02-05,active
2024-01-02,39212,1021,30212,debit,2024-01-09,active
2024-01-02,39220,1022,30220,debit,2023-02-25,active
2024-01-02,39230,1023,30230,debit,2023-10-29,active
2024-01-02,39240,1024,30240,debit,2023-10-18,active
2024-01-02,39241,1024,30241,credit,2023-10-12,active
2024-01-02,39250,1025,30250,debit,2023-04-03,active
2024-01-02,39260,1026,30260,debit,2023-02-28,active
2024-01-02,39261,1026,30261,debit,2023-02-12,active
2024-01-02,39270,1027,30270,credit,2023-07-18,active
2024-01-02,39271,1027,30271,debit,2023-07-08,active
2024-01-02,39272,1027,30272,debit,2023-07-17,active
2024-01-02,39280,1028,30280,debit,2023-06-06,active
2024-01-02,39290,1029,30290,credit,2023-12-04,active
2024-01-02,39300,1030,30300,credit,2023-12-26,active
2024-01-02,39310,1031,30310,debit,2023-12-26,active
2024-01-02,39311,1031,30311,credit,2023-12-18,active
2024-01-02,39320,1032,30320,debit,2023-11-18,blocked
2024-01-02,39330,1033,30330,debit,2023-10-25,active
2024-01-02,39340,1034,30340,debit,2023-08-16,active
2024-01-02,39341,1034,30341,debit,2023-08-13,active
2024-01-02,39350,1035,30350,credit,2023-09-02,active
2024-01-02,39351,1035,30351,debit,2023-09-17,active
2024-01-02,39360,1036,30360,debit,2023-07-30,active
2024-01-02,39361,1036,30361,credit,2023-08-13,active
2024-01-02,39362,1036,30362,debit,2023-08-06,active
2024-01-02,39370,1037,30370,debit,2023-09-07,active
2024-01-02,39390,1039,30390,debit,2023-08-03,blocked
2024-01-02,39391,1039,30391,credit,2023-08-26,active
2024-01-03,39401,1040,30401,debit,2023-05-07,blocked
2024-01-03,39411,1041,30411,debit,2023-12-31,active
2024-01-03,39412,1041,30412,debit,2024-01-19,blocked
2024-01-03,39420,1042,30420,debit,2023-11-17,active
2024-01-03,39430,1043,30430,credit,2024-01-11,active
2024-01-03,39431,1043,30431,debit,2023-12-14,active
2024-01-03,39432,1043,30432,debit,2023-12-11,active
2024-01-03,39440,1044,30440,debit,2023-03-23,blocked
2024-01-03,39460,1046,30460,debit,2023-03-18,active
2024-01-03,39461,1046,30461,debit,2023-03-07,active
2024-01-03,39462,1046,30462,credit,2023-02-23,active
2024-01-03,39470,1047,30470,debit,2023-07-10,active
2024-01-03,39480,1048,30480,credit,2023-06-22,active
2024-01-03,39490,1049,30490,debit,2023-03-29,blocked
2024-01-03,39500,1050,30500,debit,2023-10-03,active
2024-01-03,39501,1050,30501,debit,2023-10-14,blocked
2024-01-03,39502,1050,30502,credit,2023-09-24,active
2024-01-03,39510,1051,30510,debit,2023-10-01,active
2024-01-03,39520,1052,30520,credit,2023-07-29,active
2024-01-03,39521,1052,30521,credit,2023-08-18,active
2024-01-03,39530,1053,30530,credit,2023-10-21,active
2024-01-03,39540,1054,30540,debit,2023-11-24,active
2024-01-03,39542,1054,30542,debit,2023-11-25,active
2024-01-03,39550,1055,30550,debit,2024-01-14,blocked
2024-01-03,39551,1055,30551,debit,2024-01-11,active
2024-01-03,39560,1056,30560,debit,2023-11-20,blocked
2024-01-03,39561,1056,30561,debit,2023-11-23,active
2024-01-03,39570,1057,30570,debit,2023-06-25,active
2024-01-03,39571,1057,30571,debit,2023-06-22,active
2024-01-03,39580,1058,30580,debit,2024-01-01,active
2024-01-03,39590,1059,30590,credit,2023-06-14,active
2024-01-03,39591,1059,30591,debit,2023-06-16,active
2024-01-03,39592,1059,30592,credit,2023-07-08,active
2024-01-04,39600,1060,30600,debit,2023-11-14,blocked
2024-01-04,39611,1061,30611,debit,2024-01-06,blocked
2024-01-04,39612,1061,30612,debit,2024-01-05,blocked
2024-01-04,39621,1062,30621,debit,2023-05-10,active
2024-01-04,39630,1063,30630,credit,2023-10-26,active
2024-01-04,39640,1064,30640,credit,2023-08-26,blocked
2024-01-04,39660,1066,30660,credit,2023-04-25,blocked
2024-01-04,39670,1067,30670,debit,2023-06-09,blocked
2024-01-04,39682,1068,30682,credit,2023-06-12,active
2024-01-04,39690,1069,30690,debit,2023-06-22,active
2024-01-04,39691,1069,30691,debit,2023-05-31,active
2024-01-04,39692,1069,30692,debit,2023-05-04,active
2024-01-04,39700,1070,30700,debit,2023-12-18,active
2024-01-04,39701,1070,30701,credit,2023-12-11,active
2024-01-04,39720,1072,30720,debit,2023-04-01,blocked
2024-01-04,39730,1073,30730,credit,2023-11-27,active
2024-01-04,39740,1074,30740,debit,2023-04-20,active
2024-01-04,39741,1074,30741,debit,2023-04-06,active
2024-01-04,39742,1074,30742,credit,2023-04-29,active
2024-01-04,39750,1075,30750,debit,2023-06-01,active
2024-01-04,39760,1076,30760,debit,2024-01-15,active
2024-01-04,39761,1076,30761,credit,2024-01-23,active
2024-01-04,39770,1077,30770,debit,2024-01-26,active
2024-01-04,39771,1077,30771,debit,2024-01-20,blocked
2024-01-04,39772,1077,30772,debit,2024-01-30,active
2024-01-04,39781,1078,30781,credit,2024-02-20,active
2024-01-04,39790,1079,30790,credit,2023-05-28,blocked
2024-01-05,39800,1080,30800,debit,2023-08-13,active
2024-01-05,39801,1080,30801,debit,2023-08-23,blocked
2024-01-05,39810,1081,30810,credit,2023-11-17,blocked
2024-01-05,39820,1082,30820,debit,2023-04-19,active
2024-01-05,39830,1083,30830,credit,2023-08-23,active
2024-01-05,39831,1083,30831,debit,2023-09-16,blocked
2024-01-05,39832,1083,30832,credit,2023-08-10,active
2024-01-05,39840,1084,30840,credit,2023-07-24,active
2024-01-05,39850,1085,30850,debit,2023-07-05,active
2024-01-05,39851,1085,30851,debit,2023-07-06,active
2024-01-05,39860,1086,30860,credit,2023-12-14,blocked
2024-01-05,39870,1087,30870,debit,2023-07-11,active
2024-01-05,39871,1087,30871,debit,2023-06-21,active
2024-01-05,39872,1087,30872,debit,2023-07-10,active
2024-01-05,39880,1088,30880,debit,2023-09-08,active
2024-01-05,39881,1088,30881,debit,2023-09-01,active
2024-01-05,39890,1089,30890,debit,2023-08-14,active
2024-01-05,39910,1091,30910,debit,2023-06-20,active
2024-01-05,39911,1091,30911,debit,2023-08-01,active
2024-01-05,39920,1092,30920,debit,2023-05-05,active
2024-01-05,39930,1093,30930,credit,2023-06-22,active
2024-01-05,39931,1093,30931,credit,2023-07-05,active
2024-01-05,39940,1094,30940,credit,2023-08-31,active
2024-01-05,39950,1095,30950,debit,2023-05-24,blocked
2024-01-05,39960,1096,30960,debit,2023-10-19,blocked
2024-01-05,39961,1096,30961,debit,2023-09-15,active
2024-01-05,39962,1096,30962,debit,2023-10-03,active
2024-01-05,39970,1097,30970,credit,2023-12-29,blocked
2024-01-05,39980,1098,30980,debit,2023-03-01,active
2024-01-05,39990,1099,30990,debit,2024-01-23,active
2024-01-05,39991,1099,30991,debit,2023-12-24,active
2024-01-05,39992,1099,30992,debit,2023-12-04,active
2024-01-06,40010,1101,31010,debit,2023-08-06,blocked
2024-01-06,40020,1102,31020,credit,2023-09-28,blocked
2024-01-06,40030,1103,31030,debit,2023-12-04,active
2024-01-06,40040,1104,31040,credit,2023-08-11,active
2024-01-06,40050,1105,31050,credit,2023-08-21,active
2024-01-06,40060,1106,31060,credit,2023-02-03,active
2024-01-06,40061,1106,31061,debit,2023-01-25,active
2024-01-06,40070,1107,31070,debit,2023-03-12,active
2024-01-06,40072,1107,31072,debit,2023-02-15,active
2024-01-06,40080,1108,31080,debit,2023-02-13,active
2024-01-06,40081,1108,31081,debit,2023-02-27,active
2024-01-06,40082,1108,31082,debit,2023-02-19,active
2024-01-06,40090,1109,31090,debit,2024-01-10,active
2024-01-06,40091,1109,31091,credit,2023-12-28,active
2024-01-06,40101,1110,31101,debit,2023-05-29,blocked
2024-01-06,40110,1111,31110,debit,2023-02-05,blocked
2024-01-06,40111,1111,31111,debit,2023-02-20,active
2024-01-06,40112,1111,31112,debit,2023-02-16,active
2024-01-06,40120,1112,31120,debit,2023-11-28,active
2024-01-06,40121,1112,31121,credit,2023-11-08,blocked
2024-01-06,40122,1112,31122,credit,2023-11-15,active
2024-01-06,40130,1113,31130,debit,2024-02-05,blocked
2024-01-06,40131,1113,31131,debit,2024-01-07,blocked
2024-01-06,40132,1113,31132,debit,2024-01-14,active
2024-01-06,40150,1115,31150,debit,2023-10-12,active
2024-01-06,40151,1115,31151,debit,2023-09-30,active
2024-01-06,40152,1115,31152,credit,2023-10-10,active
2024-01-06,40160,1116,31160,debit,2023-05-08,active
2024-01-06,40161,1116,31161,debit,2023-05-13,blocked
2024-01-06,40170,1117,31170,debit,2023-07-02,active
2024-01-06,40171,1117,31171,debit,2023-07-09,active
2024-01-06,40180,1118,31180,debit,2023-10-30,blocked
2024-01-06,40190,1119,31190,debit,2023-09-05,active
2024-01-06,40191,1119,31191,debit,2023-08-25,active
2024-01-07,40200,1120,31200,credit,2023-10-02,blocked
2024-01-07,40201,1120,31201,debit,2023-10-09,active
2024-01-07,40210,1121,31210,debit,2023-02-19,blocked
2024-01-07,40220,1122,31220,debit,2023-09-26,active
2024-01-07,40221,1122,31221,debit,2023-09-07,active
2024-01-07,40231,1123,31231,debit,2024-01-21,blocked
2024-01-07,40232,1123,31232,debit,2024-02-05,blocked
2024-01-07,40240,1124,31240,debit,2023-02-13,active
2024-01-07,40250,1125,31250,debit,2023-06-24,active
2024-01-07,40251,1125,31251,debit,2023-06-15,blocked
2024-01-07,40252,1125,31252,credit,2023-06-20,active
2024-01-07,40260,1126,31260,credit,2023-06-14,active
2024-01-07,40270,1127,31270,credit,2023-06-17,blocked
2024-01-07,40271,1127,31271,debit,2023-06-13,active
2024-01-07,40272,1127,31272,debit,2023-06-29,active
2024-01-07,40280,1128,31280,debit,2023-11-03,blocked
2024-01-07,40281,1128,31281,credit,2023-10-26,active
2024-01-07,40290,1129,31290,debit,2023-06-05,active
2024-01-07,40291,1129,31291,debit,2023-06-18,active
2024-01-07,40300,1130,31300,credit,2023-11-11,active
2024-01-07,40301,1130,31301,debit,2023-12-19,active
2024-01-07,40302,1130,31302,debit,2023-12-31,active
2024-01-07,40311,1131,31311,debit,2023-04-05,active
2024-01-07,40330,1133,31330,debit,2023-05-09,blocked
2024-01-07,40331,1133,31331,debit,2023-04-26,active
2024-01-07,40340,1134,31340,debit,2023-05-26,blocked
2024-01-07,40350,1135,31350,debit,2023-06-30,blocked
2024-01-07,40351,1135,31351,debit,2023-06-10,active
2024-01-07,40352,1135,31352,credit,2023-06-24,blocked
2024-01-07,40360,1136,31360,debit,2023-10-30,active
2024-01-07,40361,1136,31361,debit,2023-12-04,active
2024-01-07,40370,1137,31370,debit,2023-01-29,active
2024-01-07,40371,1137,31371,credit,2023-02-13,blocked
2024-01-07,40372,1137,31372,debit,2023-01-27,blocked
2024-01-07,40380,1138,31380,credit,2023-09-13,active
2024-01-07,40381,1138,31381,credit,2023-08-19,blocked
2024-01-07,40390,1139,31390,debit,2023-03-28,active
2024-01-08,40400,1140,31400,debit,2023-05-03,active
2024-01-08,40410,1141,31410,debit,2023-06-30,active
2024-01-08,40411,1141,31411,debit,2023-06-18,active
2024-01-08,40412,1141,31412,debit,2023-06-09,blocked
2024-01-08,40420,1142,31420,credit,2023-11-30,active
2024-01-08,40421,1142,31421,debit,2023-12-11,active
2024-01-08,40422,1142,31422,credit,2023-11-27,active
2024-01-08,40430,1143,31430,debit,2023-03-31,blocked
2024-01-08,40431,1143,31431,credit,2023-04-06,active
2024-01-08,40440,1144,31440,credit,2023-03-19,active
2024-01-08,40441,1144,31441,credit,2023-03-18,blocked
2024-01-08,40442,1144,31442,debit,2023-02-19,blocked
2024-01-08,40450,1145,31450,debit,2023-04-11,active
2024-01-08,40460,1146,31460,debit,2023-08-31,blocked
2024-01-08,40462,1146,31462,debit,2023-09-11,active
2024-01-08,40470,1147,31470,debit,2023-08-26,blocked
2024-01-08,40471,1147,31471,credit,2023-08-30,blocked
2024-01-08,40472,1147,31472,debit,2023-09-17,blocked
2024-01-08,40480,1148,31480,debit,2023-11-07,blocked
2024-01-08,40481,1148,31481,debit,2023-11-21,blocked
2024-01-08,40500,1150,31500,credit,2023-09-05,active
2024-01-08,40501,1150,31501,credit,2023-08-21,active
2024-01-08,40510,1151,31510,debit,2024-01-06,active
2024-01-08,40511,1151,31511,debit,2024-01-10,active
2024-01-08,40520,1152,31520,debit,2023-07-22,active
2024-01-08,40521,1152,31521,credit,2023-07-07,active
2024-01-08,40530,1153,31530,credit,2023-03-02,active
2024-01-08,40540,1154,31540,debit,2023-06-25,blocked
2024-01-08,40541,1154,31541,debit,2023-06-04,active
2024-01-08,40542,1154,31542,debit,2023-06-21,blocked
2024-01-08,40550,1155,31550,debit,2024-01-03,active
2024-01-08,40551,1155,31551,debit,2023-12-14,active
2024-01-08,40560,1156,31560,credit,2023-08-01,active
2024-01-08,40570,1157,31570,credit,2023-02-03,active
2024-01-08,40571,1157,31571,debit,2023-02-12,active
2024-01-08,40580,1158,31580,debit,2023-08-18,blocked
2024-01-08,40590,1159,31590,credit,2023-03-15,blocked
2024-01-08,40591,1159,31591,debit,2023-02-18,blocked
2024-01-08,40592,1159,31592,debit,2023-03-19,blocked
2024-01-09,40600,1160,31600,credit,2023-06-04,active
2024-01-09,40601,1160,31601,debit,2023-06-21,active
2024-01-09,40602,1160,31602,credit,2023-06-22,active
2024-01-09,40610,1161,31610,credit,2023-08-03,active
2024-01-09,40612,1161,31612,debit,2023-07-11,active
2024-01-09,40620,1162,31620,debit,2023-05-20,blocked
2024-01-09,40621,1162,31621,credit,2023-05-24,blocked
2024-01-09,40630,1163,31630,debit,2023-04-21,blocked
2024-01-09,40641,1164,31641,debit,2023-01-30,active
2024-01-09,40642,1164,31642,debit,2023-02-16,active
2024-01-09,40650,1165,31650,debit,2023-07-08,active
2024-01-09,40651,1165,31651,credit,2023-06-06,active
2024-01-09,40652,1165,31652,credit,2023-06-16,blocked
2024-01-09,40660,1166,31660,credit,2023-07-04,active
2024-01-09,40670,1167,31670,debit,2023-04-28,blocked
2024-01-09,40680,1168,31680,credit,2023-05-29,active
2024-01-09,40681,1168,31681,credit,2023-06-07,active
2024-01-09,40690,1169,31690,debit,2023-02-22,active
2024-01-09,40700,1170,31700,credit,2023-02-19,active
2024-01-09,40701,1170,31701,credit,2023-02-08,active
2024-01-09,40702,1170,31702,credit,2023-03-11,active
2024-01-09,40710,1171,31710,credit,2023-10-14,active
2024-01-09,40711,1171,31711,debit,2023-11-18,active
2024-01-09,40712,1171,31712,credit,2023-10-28,active
2024-01-09,40720,1172,31720,debit,2023-03-25,blocked
2024-01-09,40721,1172,31721,debit,2023-04-14,active
2024-01-09,40722,1172,31722,debit,2023-03-22,blocked
2024-01-09,40730,1173,31730,debit,2024-02-15,active
2024-01-09,40740,1174,31740,credit,2023-08-14,active
2024-01-09,40741,1174,31741,debit,2023-09-23,blocked
2024-01-09,40742,1174,31742,credit,2023-08-26,active
2024-01-09,40750,1175,31750,credit,2023-02-08,active
2024-01-09,40760,1176,31760,debit,2023-12-26,active
2024-01-09,40770,1177,31770,debit,2023-11-12,active
2024-01-09,40771,1177,31771,credit,2023-12-10,active
2024-01-09,40780,1178,31780,debit,2023-09-30,active
2024-01-09,40781,1178,31781,credit,2023-10-26,blocked
2024-01-09,40782,1178,31782,credit,2023-09-26,active
2024-01-09,40790,1179,31790,debit,2023-05-19,active
2024-01-09,40791,1179,31791,debit,2023-04-29,active
2024-01-10,40800,1180,31800,debit,2023-03-20,blocked
2024-01-10,40801,1180,31801,credit,2023-03-14,active
2024-01-10,40802,1180,31802,debit,2023-03-21,blocked
2024-01-10,40810,1181,31810,credit,2023-10-16,active
2024-01-10,40811,1181,31811,debit,2023-10-26,blocked
2024-01-10,40820,1182,31820,debit,2023-11-14,active
2024-01-10,40830,1183,31830,debit,2023-02-21,blocked
2024-01-10,40840,1184,31840,debit,2023-05-21,blocked
2024-01-10,40850,1185,31850,credit,2023-06-25,active
2024-01-10,40851,1185,31851,credit,2023-07-04,active
2024-01-10,40852,1185,31852,debit,2023-06-29,active
2024-01-10,40861,1186,31861,debit,2023-04-03,blocked
2024-01-10,40870,1187,31870,credit,2023-07-31,active
2024-01-10,40880,1188,31880,debit,2023-07-04,active
2024-01-10,40890,1189,31890,debit,2023-03-03,active
2024-01-10,40900,1190,31900,debit,2023-10-25,active
2024-01-10,40901,1190,31901,debit,2023-11-23,active
2024-01-10,40902,1190,31902,debit,2023-11-13,active
2024-01-10,40910,1191,31910,debit,2023-11-06,blocked
2024-01-10,40911,1191,31911,debit,2023-11-04,blocked
2024-01-10,40920,1192,31920,debit,2023-12-02,blocked
2024-01-10,40930,1193,31930,debit,2023-07-08,active
2024-01-10,40932,1193,31932,credit,2023-08-01,active
2024-01-10,40940,1194,31940,credit,2023-06-24,active
2024-01-10,40941,1194,31941,debit,2023-06-27,active
2024-01-10,40950,1195,31950,credit,2023-07-09,active
2024-01-10,40960,1196,31960,debit,2024-01-04,blocked
2024-01-10,40970,1197,31970,debit,2023-07-03,active
2024-01-10,40980,1198,31980,debit,2023-08-30,blocked
2024-01-10,40981,1198,31981,debit,2023-08-26,active
2024-01-10,40990,1199,31990,debit,2023-11-13,active
2024-01-11,41000,1200,32000,credit,2023-05-15,active
2024-01-11,41001,1200,32001,debit,2023-04-22,active
2024-01-11,41002,1200,32002,debit,2023-05-14,active
2024-01-11,41010,1201,32010,debit,2024-01-01,blocked
2024-01-11,41012,1201,32012,debit,2023-12-04,blocked
2024-01-11,41020,1202,32020,debit,2023-04-21,active
2024-01-11,41021,1202,32021,debit,2023-04-10,active
2024-01-11,41030,1203,32030,debit,2023-04-02,blocked
2024-01-11,41040,1204,32040,debit,2023-04-28,active
2024-01-11,41041,1204,32041,debit,2023-04-11,active
2024-01-11,41051,1205,32051,debit,2023-03-04,active
2024-01-11,41060,1206,32060,debit,2024-02-02,active
2024-01-11,41070,1207,32070,debit,2023-04-05,active
2024-01-11,41071,1207,32071,debit,2023-05-09,active
2024-01-11,41072,1207,32072,debit,2023-03-30,active
2024-01-11,41080,1208,32080,debit,2023-07-20,blocked
2024-01-11,41081,1208,32081,credit,2023-06-27,blocked
2024-01-11,41082,1208,32082,credit,2023-06-04,active
2024-01-11,41090,1209,32090,debit,2024-02-04,active
2024-01-11,41091,1209,32091,debit,2024-01-10,active
2024-01-11,41092,1209,32092,debit,2023-12-27,active
2024-01-11,41100,1210,32100,debit,2024-02-22,blocked
2024-01-11,41110,1211,32110,credit,2023-10-20,active
2024-01-11,41121,1212,32121,debit,2023-11-19,blocked
2024-01-11,41130,1213,32130,debit,2023-04-08,active
2024-01-11,41140,1214,32140,debit,2023-10-09,active
2024-01-11,41141,1214,32141,credit,2023-10-26,active
2024-01-11,41150,1215,32150,credit,2023-03-13,active
2024-01-11,41151,1215,32151,debit,2023-02-17,active
2024-01-11,41152,1215,32152,debit,2023-02-22,active
2024-01-11,41160,1216,32160,debit,2023-04-26,active
2024-01-11,41161,1216,32161,credit,2023-04-17,active
2024-01-11,41162,1216,32162,credit,2023-04-05,active
2024-01-11,41170,1217,32170,debit,2024-02-01,blocked
2024-01-11,41171,1217,32171,debit,2024-02-25,active
2024-01-11,41180,1218,32180,debit,2023-07-25,blocked
2024-01-11,41181,1218,32181,credit,2023-08-13,active
2024-01-11,41190,1219,32190,credit,2023-02-21,active
2024-01-11,41191,1219,32191,credit,2023-02-28,active
2024-01-11,41192,1219,32192,credit,2023-03-07,active
2024-01-12,41200,1220,32200,debit,2023-07-03,active
2024-01-12,41210,1221,32210,credit,2023-04-24,active
2024-01-12,41211,1221,32211,debit,2023-04-19,blocked
2024-01-12,41212,1221,32212,debit,2023-04-19,active
2024-01-12,41220,1222,32220,debit,2023-07-18,active
2024-01-12,41221,1222,32221,debit,2023-08-13,active
2024-01-12,41222,1222,32222,credit,2023-07-26,blocked
2024-01-12,41230,1223,32230,debit,2023-06-01,active
2024-01-12,41240,1224,32240,debit,2023-06-09,blocked
2024-01-12,41241,1224,32241,debit,2023-05-31,blocked
2024-01-12,41250,1225,32250,debit,2023-08-28,blocked
2024-01-12,41260,1226,32260,credit,2023-05-11,blocked
2024-01-12,41270,1227,32270,debit,2024-02-14,active
2024-01-12,41271,1227,32271,debit,2024-02-19,active
2024-01-12,41272,1227,32272,debit,2024-01-22,active
2024-01-12,41280,1228,32280,credit,2023-09-12,blocked
2024-01-12,41290,1229,32290,credit,2023-09-09,active
2024-01-12,41310,1231,32310,debit,2023-07-19,active
2024-01-12,41320,1232,32320,debit,2023-12-21,active
2024-01-12,41321,1232,32321,debit,2023-12-26,blocked
2024-01-12,41330,1233,32330,debit,2023-09-15,active
2024-01-12,41340,1234,32340,debit,2023-03-20,active
2024-01-12,41341,1234,32341,credit,2023-02-22,active
2024-01-12,41350,1235,32350,debit,2023-03-16,active
2024-01-12,41351,1235,32351,debit,2023-02-21,blocked
2024-01-12,41360,1236,32360,debit,2024-01-06,blocked
2024-01-12,41361,1236,32361,credit,2024-01-01,blocked
2024-01-12,41362,1236,32362,debit,2024-01-26,active
2024-01-12,41370,1237,32370,debit,2023-08-30,blocked
2024-01-12,41371,1237,32371,credit,2023-09-04,blocked
2024-01-12,41381,1238,32381,credit,2023-04-22,active
2024-01-12,41391,1239,32391,debit,2023-06-07,blocked
2024-01-13,41400,1240,32400,credit,2023-12-05,active
2024-01-13,41401,1240,32401,debit,2023-12-05,active
2024-01-13,41402,1240,32402,debit,2023-11-21,active
2024-01-13,41410,1241,32410,credit,2023-04-23,blocked
2024-01-13,41420,1242,32420,debit,2023-04-11,blocked
2024-01-13,41430,1243,32430,debit,2023-09-03,active
2024-01-13,41440,1244,32440,debit,2023-06-12,active
2024-01-13,41441,1244,32441,debit,2023-06-03,blocked
2024-01-13,41451,1245,32451,debit,2023-11-27,active
2024-01-13,41452,1245,32452,credit,2023-12-30,active
2024-01-13,41460,1246,32460,debit,2023-05-15,active
2024-01-13,41461,1246,32461,debit,2023-05-13,blocked
2024-01-13,41462,1246,32462,credit,2023-06-06,blocked
2024-01-13,41470,1247,32470,debit,2023-11-22,active
2024-01-13,41481,1248,32481,credit,2023-08-07,active
2024-01-13,41482,1248,32482,credit,2023-08-25,blocked
2024-01-13,41490,1249,32490,debit,2023-11-25,active
2024-01-13,41491,1249,32491,debit,2023-11-15,active
2024-01-13,41492,1249,32492,debit,2023-10-24,active
2024-01-13,41500,1250,32500,credit,2023-05-22,active
2024-01-13,41502,1250,32502,credit,2023-05-20,active
2024-01-13,41510,1251,32510,credit,2023-11-27,active
2024-01-13,41521,1252,32521,credit,2023-02-20,blocked
2024-01-13,41530,1253,32530,debit,2023-08-28,active
2024-01-13,41531,1253,32531,debit,2023-09-17,active
2024-01-13,41532,1253,32532,debit,2023-08-29,blocked
2024-01-13,41541,1254,32541,credit,2023-11-10,blocked
2024-01-13,41542,1254,32542,credit,2023-11-28,blocked
2024-01-13,41550,1255,32550,debit,2023-08-25,active
2024-01-13,41551,1255,32551,debit,2023-08-02,active
2024-01-13,41560,1256,32560,credit,2024-01-31,active
2024-01-13,41561,1256,32561,debit,2024-02-07,active
2024-01-13,41570,1257,32570,debit,2023-03-09,blocked
2024-01-13,41571,1257,32571,debit,2023-02-23,active
2024-01-13,41572,1257,32572,debit,2023-02-05,active
