business_effective_date,branch_id,branch_name,city
2024-01-01,301,Midtown Branch - 2024-01-01,Chicago
2024-01-01,302,Lakeshore Branch - 2024-01-01,New York
2024-01-01,303,Capitol Hill - 2024-01-01,San Diego
2024-01-01,304,La Jolla Branch - 2024-01-01,Seattle
2024-01-02,311,Midtown Branch - 2024-01-02,Chicago
2024-01-02,312,Lakeshore Branch - 2024-01-02,San Francisco
2024-01-02,313,Capitol Hill - 2024-01-02,Chicago
2024-01-02,314,La Jolla Branch - 2024-01-02,New York
2024-01-03,321,Midtown Branch - 2024-01-03,Austin
2024-01-03,322,Lakeshore Branch - 2024-01-03,San Francisco
2024-01-03,323,Capitol Hill - 2024-01-03,New York
2024-01-03,324,La Jolla Branch - 2024-01-03,San Francisco
2024-01-04,331,Midtown Branch - 2024-01-04,Boston
2024-01-04,332,Lakeshore Branch - 2024-01-04,Boston
2024-01-04,333,Capitol Hill - 2024-01-04,Miami
2024-01-04,334,La Jolla Branch - 2024-01-04,Miami
2024-01-05,341,Midtown Branch - 2024-01-05,Seattle
2024-01-05,342,Lakeshore Branch - 2024-01-05,San Diego
2024-01-05,343,Capitol Hill - 2024-01-05,Boston
2024-01-05,344,La Jolla Branch - 2024-01-05,Seattle
2024-01-06,351,Midtown Branch - 2024-01-06,San Francisco
2024-01-06,352,Lakeshore Branch - 2024-01-06,Denver
2024-01-06,353,Capitol Hill - 2024-01-06,New York
2024-01-06,354,La Jolla Branch - 2024-01-06,Atlanta
2024-01-07,361,Midtown Branch - 2024-01-07,Austin
2024-01-07,362,Lakeshore Branch - 2024-01-07,New York
2024-01-07,363,Capitol Hill - 2024-01-07,Chicago
2024-01-07,364,La Jolla Branch - 2024-01-07,San Diego
2024-01-08,371,Midtown Branch - 2024-01-08,Austin
2024-01-08,372,Lakeshore Branch - 2024-01-08,Austin
2024-01-08,373,Capitol Hill - 2024-01-08,Denver
2024-01-08,374,La Jolla Branch - 2024-01-08,Denver
2024-01-09,381,Midtown Branch - 2024-01-09,Chicago
2024-01-09,382,Lakeshore Branch - 2024-01-09,Boston
2024-01-09,383,Capitol Hill - 2024-01-09,New York
2024-01-09,384,La Jolla Branch - 2024-01-09,Seattle
2024-01-10,391,Midtown Branch - 2024-01-10,Denver
2024-01-10,392,Lakeshore Branch - 2024-01-10,Miami
2024-01-10,393,Capitol Hill - 2024-01-10,Denver
2024-01-10,394,La Jolla Branch - 2024-01-10,Chicago
2024-01-11,401,Midtown Branch - 2024-01-11,San Francisco
2024-01-11,402,Lakeshore Branch - 2024-01-11,San Diego
2024-01-11,403,Capitol Hill - 2024-01-11,Denver
2024-01-11,404,La Jolla Branch - 2024-01-11,Denver
2024-01-12,411,Midtown Branch - 2024-01-12,Atlanta
2024-01-12,412,Lakeshore Branch - 2024-01-12,Boston
2024-01-12,413,Capitol Hill - 2024-01-12,Seattle
2024-01-12,414,La Jolla Branch - 2024-01-12,New York
2024-01-13,421,Midtown Branch - 2024-01-13,Miami
2024-01-13,422,Lakeshore Branch - 2024-01-13,Seattle
2024-01-13,423,Capitol Hill - 2024-01-13,San Diego
2024-01-13,424,La Jolla Branch - 2024-01-13,Miami
