business_effective_date,txn_id,account_id,txn_timestamp,txn_type,amount,merchant,city,category
2024-01-01,500001,30000,2024-01-01 15:23:12,debit,778.24,Apple Store,Chicago,shopping
2024-01-01,500002,30000,2024-01-01 13:49:57,debit,4237.62,Target,San Diego,food
2024-01-01,500003,30000,2024-01-01 16:43:37,debit,4865.61,Payroll Inc,Chicago,transfer
2024-01-01,500004,30000,2024-01-01 10:40:27,credit,3092.98,Apple Store,San Francisco,subscription
2024-01-01,500005,30000,2024-01-01 02:31:56,debit,1140.26,Uber,Chicago,subscription
2024-01-01,500006,30001,2024-01-01 07:37:40,debit,3509.4,Netflix,Chicago,utility
2024-01-01,500007,30001,2024-01-01 23:07:07,debit,3645.9,Walmart,Boston,salary
2024-01-01,500008,30001,2024-01-01 09:49:42,credit,3200.36,Bank Transfer,Seattle,entertainment
2024-01-01,500009,30001,2024-01-01 11:48:24,credit,3880.22,Spotify,New York,electronics
2024-01-01,500010,30001,2024-01-01 14:36:21,debit,1055.7,Target,Austin,subscription
2024-01-01,500011,30001,2024-01-01 23:51:49,debit,4423.53,Netflix,Boston,grocery
2024-01-01,500012,30001,2024-01-01 09:38:38,debit,3725.2,Bank Transfer,San Diego,utility
2024-01-01,500013,30001,2024-01-01 15:35:55,credit,1997.6,Spotify,Miami,transfer
2024-01-01,500014,30002,2024-01-01 02:18:46,debit,2979.85,Cash Deposit,Atlanta,transport
2024-01-01,500015,30002,2024-01-01 20:08:32,credit,58.39,Shell,Chicago,entertainment
2024-01-01,500016,30002,2024-01-01 19:33:01,credit,3843.23,Apple Store,Chicago,transport
2024-01-01,500017,30002,2024-01-01 15:49:45,debit,17.22,Shell,San Diego,transfer
2024-01-01,500018,30002,2024-01-01 06:30:16,debit,532.95,Netflix,San Diego,entertainment
2024-01-01,500019,30002,2024-01-01 18:29:00,debit,765.04,Walmart,Atlanta,transfer
2024-01-01,500020,30002,2024-01-01 00:01:14,debit,2443.54,Amazon,Austin,transport
2024-01-01,500021,30002,2024-01-01 08:43:05,debit,4390.17,Amazon,Chicago,deposit
2024-01-01,500022,30002,2024-01-01 02:31:11,credit,2664.0,Walmart,Miami,entertainment
2024-01-01,500023,30002,2024-01-01 17:18:16,credit,826.47,Bank Transfer,San Francisco,salary
2024-01-01,500024,30002,2024-01-01 07:42:40,credit,3776.57,Shell,Seattle,transport
2024-01-01,500025,30002,2024-01-01 14:31:36,credit,3249.74,Cash Deposit,Atlanta,deposit
2024-01-01,500026,30010,2024-01-01 02:27:14,credit,4298.32,Amazon,Atlanta,subscription
2024-01-01,500027,30010,2024-01-01 10:08:20,debit,1071.97,Walmart,San Francisco,utility
2024-01-01,500028,30010,2024-01-01 17:12:33,debit,2365.39,Payroll Inc,Seattle,shopping
2024-01-01,500029,30010,2024-01-01 03:31:44,debit,1772.13,Payroll Inc,Boston,food
2024-01-01,500030,30010,2024-01-01 23:47:29,credit,492.99,Payroll Inc,Austin,shopping
2024-01-01,500031,30010,2024-01-01 09:03:11,debit,2681.89,Walmart,Denver,grocery
2024-01-01,500032,30011,2024-01-01 23:44:37,credit,4180.3,Amazon,Seattle,grocery
2024-01-01,500033,30011,2024-01-01 14:47:49,debit,1069.52,Payroll Inc,New York,grocery
2024-01-01,500034,30011,2024-01-01 13:47:52,debit,1952.72,Cash Deposit,San Diego,salary
2024-01-01,500035,30012,2024-01-01 02:04:52,debit,2384.47,Bank Transfer,Miami,food
2024-01-01,500036,30012,2024-01-01 18:29:22,debit,929.94,Target,Chicago,entertainment
2024-01-01,500037,30012,2024-01-01 08:33:48,debit,4708.04,Target,Seattle,utility
2024-01-01,500038,30012,2024-01-01 21:38:44,debit,410.84,Netflix,San Francisco,utility
2024-01-01,500039,30012,2024-01-01 19:02:02,debit,1304.57,Netflix,Austin,subscription
2024-01-01,500040,30012,2024-01-01 09:40:14,debit,3358.78,Uber,Boston,electronics
2024-01-01,500041,30012,2024-01-01 02:38:28,debit,3106.18,Target,Chicago,shopping
2024-01-01,500042,30012,2024-01-01 19:34:28,debit,1326.74,Apple Store,Chicago,subscription
2024-01-01,500043,30020,2024-01-01 20:08:32,debit,1409.5,Spotify,Austin,subscription
2024-01-01,500044,30020,2024-01-01 23:05:30,credit,2527.54,Uber,New York,shopping
2024-01-01,500045,30020,2024-01-01 23:05:36,debit,1384.12,Starbucks,Austin,grocery
2024-01-01,500046,30020,2024-01-01 23:11:47,credit,808.75,Cash Deposit,Atlanta,salary
2024-01-01,500047,30021,2024-01-01 19:51:51,debit,1846.71,Bank Transfer,Miami,salary
2024-01-01,500048,30021,2024-01-01 04:38:24,debit,1823.89,Starbucks,Austin,subscription
2024-01-01,500049,30021,2024-01-01 09:05:06,debit,1769.04,Bank Transfer,Denver,utility
2024-01-01,500050,30021,2024-01-01 05:37:37,credit,1184.45,Walmart,Miami,salary
2024-01-01,500051,30021,2024-01-01 00:54:08,debit,4622.51,Payroll Inc,Seattle,transport
2024-01-01,500052,30022,2024-01-01 12:43:50,debit,3976.93,Spotify,Seattle,food
2024-01-01,500053,30022,2024-01-01 07:01:53,debit,1393.74,Amazon,San Diego,electronics
2024-01-01,500054,30022,2024-01-01 23:21:20,debit,3397.91,Bank Transfer,Austin,food
2024-01-01,500055,30022,2024-01-01 04:11:58,credit,1306.81,Target,San Diego,food
2024-01-01,500056,30022,2024-01-01 03:56:48,debit,1729.09,Apple Store,Denver,utility
2024-01-01,500057,30022,2024-01-01 18:37:13,debit,4497.62,Spotify,San Diego,food
2024-01-01,500058,30022,2024-01-01 15:52:34,debit,4627.95,Bank Transfer,Seattle,electronics
2024-01-01,500059,30022,2024-01-01 15:42:11,debit,3321.52,Apple Store,San Francisco,electronics
2024-01-01,500060,30022,2024-01-01 04:32:14,debit,1502.31,Uber,Denver,electronics
2024-01-01,500061,30022,2024-01-01 14:39:03,debit,2772.51,Spotify,Denver,entertainment
2024-01-01,500062,30030,2024-01-01 16:05:05,debit,1069.29,Cash Deposit,Miami,entertainment
2024-01-01,500063,30030,2024-01-01 03:05:14,debit,3319.61,Target,Austin,shopping
2024-01-01,500064,30030,2024-01-01 08:33:04,debit,1123.98,Spotify,Miami,food
2024-01-01,500065,30030,2024-01-01 01:40:57,debit,2376.21,Amazon,Boston,salary
2024-01-01,500066,30030,2024-01-01 22:55:44,debit,3592.01,Payroll Inc,Boston,salary
2024-01-01,500067,30030,2024-01-01 08:52:59,debit,3438.42,Amazon,Denver,subscription
2024-01-01,500068,30030,2024-01-01 06:24:13,credit,3479.86,Cash Deposit,New York,transfer
2024-01-01,500069,30030,2024-01-01 09:04:22,credit,607.67,Walmart,Boston,entertainment
2024-01-01,500070,30030,2024-01-01 19:20:16,credit,2977.67,Cash Deposit,San Francisco,transfer
